source_path,start_frame,end_frame,new_name
./pose_data/Custom/A.-CARRIOLA-TERRA-3quarti-2.npy,0,158,A.-CARRIOLA-TERRA-3quarti-2.npy
./pose_data/Custom/A.-CARRIOLA-TERRA-LAT-1.npy,0,164,A.-CARRIOLA-TERRA-LAT-1.npy
./pose_data/Custom/A.-CARRIOLA-TERRA-LAT-2.npy,0,173,A.-CARRIOLA-TERRA-LAT-2.npy
./pose_data/Custom/A.-CARRIOLA-TERRA-LAT-3.npy,0,170,A.-CARRIOLA-TERRA-LAT-3.npy
./pose_data/Custom/A.-CASSA+CARRIOLA-TERRA-3quarti-1.npy,0,176,A.-CASSA+CARRIOLA-TERRA-3quarti-1.npy
./pose_data/Custom/A.-CASSA+CARRIOLA-TERRA-3quarti-2.npy,0,168,A.-CASSA+CARRIOLA-TERRA-3quarti-2.npy
./pose_data/Custom/A.-CASSA+CARRIOLA-TERRA-LAT-1.npy,0,194,A.-CASSA+CARRIOLA-TERRA-LAT-1.npy
./pose_data/Custom/A.-CASSA+CARRIOLA-TERRA-LAT-2.npy,0,178,A.-CASSA+CARRIOLA-TERRA-LAT-2.npy
./pose_data/Custom/A.-CASSA+CARRIOLA-TERRA-LAT-3.npy,0,203,A.-CASSA+CARRIOLA-TERRA-LAT-3.npy
./pose_data/Custom/A.-CASSA-O-TERRA-3quarti-1.npy,0,170,A.-CASSA-O-TERRA-3quarti-1.npy
./pose_data/Custom/A.-CASSA-O-TERRA-3quarti-2.npy,0,175,A.-CASSA-O-TERRA-3quarti-2.npy
./pose_data/Custom/A.-CASSA-O-TERRA-3quarti-3.npy,0,221,A.-CASSA-O-TERRA-3quarti-3.npy
./pose_data/Custom/A.-CASSA-O-TERRA-LAT-1.npy,0,172,A.-CASSA-O-TERRA-LAT-1.npy
./pose_data/Custom/A.-CASSA-O-TERRA-LAT-2.npy,0,210,A.-CASSA-O-TERRA-LAT-2.npy
./pose_data/Custom/A.-CASSA-V-TERRA-3quarti-1.npy,0,182,A.-CASSA-V-TERRA-3quarti-1.npy
./pose_data/Custom/A.-CASSA-V-TERRA-3quarti-2.npy,0,186,A.-CASSA-V-TERRA-3quarti-2.npy
./pose_data/Custom/A.-CASSA-V-TERRA-3quarti-3.npy,0,186,A.-CASSA-V-TERRA-3quarti-3.npy
./pose_data/Custom/A.-CASSA-V-TERRA-LAT-1.npy,0,167,A.-CASSA-V-TERRA-LAT-1.npy
./pose_data/Custom/A.-CASSA-V-TERRA-LAT-2.npy,0,189,A.-CASSA-V-TERRA-LAT-2.npy
./pose_data/Custom/A.-CASSA-V-TERRA-LAT-3.npy,0,171,A.-CASSA-V-TERRA-LAT-3.npy
./pose_data/Custom/A.-TERRA-CARRIOLA-LAT-1.npy,0,215,A.-TERRA-CARRIOLA-LAT-1.npy
./pose_data/Custom/A.-TERRA-CARRIOLA-LAT-2.npy,0,186,A.-TERRA-CARRIOLA-LAT-2.npy
./pose_data/Custom/A.-TERRA-CARRIOLA-LAT-3.npy,0,215,A.-TERRA-CARRIOLA-LAT-3.npy
./pose_data/Custom/A.-TERRA-CASSA+CARRIOLA-3quarti-1.npy,0,158,A.-TERRA-CASSA+CARRIOLA-3quarti-1.npy
./pose_data/Custom/A.-TERRA-CASSA+CARRIOLA-3quarti-2.npy,0,205,A.-TERRA-CASSA+CARRIOLA-3quarti-2.npy
./pose_data/Custom/A.-TERRA-CASSA+CARRIOLA-LAT-1.npy,0,187,A.-TERRA-CASSA+CARRIOLA-LAT-1.npy
./pose_data/Custom/A.-TERRA-CASSA+CARRIOLA-LAT-2.npy,0,224,A.-TERRA-CASSA+CARRIOLA-LAT-2.npy
./pose_data/Custom/A.-TERRA-CASSA+CARRIOLA-LAT-3.npy,0,168,A.-TERRA-CASSA+CARRIOLA-LAT-3.npy
./pose_data/Custom/A.-TERRA-CASSA-O-3quarti-1.npy,0,189,A.-TERRA-CASSA-O-3quarti-1.npy
./pose_data/Custom/A.-TERRA-CASSA-O-3quarti-2.npy,0,184,A.-TERRA-CASSA-O-3quarti-2.npy
./pose_data/Custom/A.-TERRA-CASSA-O-3quarti-3.npy,0,196,A.-TERRA-CASSA-O-3quarti-3.npy
